Designator,Mid X,Mid Y,Rotation,Layer
D1,102.921087,-121.342343,280.0,bottom
D10,157.487205,-127.954424,290.0,bottom
D11,163.301548,-111.979655,290.0,bottom
D12,169.115888,-96.004875,290.0,bottom
D13,149.347121,-150.31911,290.0,bottom
D14,168.798007,-161.121503,305.0,bottom
D15,184.79025,-176.590072,320.0,bottom
D16,303.115996,-120.230996,260.0,bottom
D17,300.163978,-103.489263,260.0,bottom
D18,297.211958,-86.747534,260.0,bottom
D19,282.734918,-114.13862,254.0,bottom
D2,105.873106,-104.600615,280.0,bottom
D20,278.049083,-97.797171,254.0,bottom
D21,273.363249,-81.455721,254.0,bottom
D22,263.722021,-115.615444,250.0,bottom
D23,257.90768,-99.640668,250.0,bottom
D24,252.093335,-83.665895,250.0,bottom
D25,248.261139,-125.765499,250.0,bottom
D26,242.446799,-109.790724,250.0,bottom
D27,236.632457,-93.81595,250.0,bottom
D28,256.401216,-148.130184,250.0,bottom
D29,236.178882,-157.450617,235.0,bottom
D3,108.825124,-87.858879,280.0,bottom
D30,219.057902,-171.687392,220.0,bottom
D31,77.78043,-123.408097,100.0,bottom
D32,80.732446,-106.666367,100.0,bottom
D33,83.684463,-89.924637,100.0,bottom
D34,166.22778,-137.856019,110.0,bottom
D35,172.042121,-121.881245,110.0,bottom
D36,177.856467,-105.906469,110.0,bottom
D37,315.65111,-124.519446,80.0,bottom
D38,312.699094,-107.777713,80.0,bottom
D39,309.747074,-91.035979,80.0,bottom
D4,123.15147,-115.902703,286.0,bottom
D40,227.492501,-140.044946,70.0,bottom
D41,221.678158,-124.070179,70.0,bottom
D42,215.863816,-108.095399,70.0,bottom
D5,127.837303,-99.561253,286.0,bottom
D6,132.523134,-83.219801,286.0,bottom
D7,142.026318,-117.80437,290.0,bottom
D8,147.840663,-101.829599,290.0,bottom
D9,153.655005,-85.854822,290.0,bottom
S1,97.42368810025233,-124.80813488889278,170.0,top
S10,151.4714932446399,-130.41295594121064,160.0,top
S11,157.2858382446399,-114.43817294121064,160.0,top
S12,163.1001812446399,-98.46340094121064,160.0,top
S13,143.3314152446399,-152.77763694121066,160.0,top
S14,162.35096612165822,-161.93927738079006,145.0,top
S15,178.35123328205037,-175.71136222314863,130.0,top
S16,299.135501223261,-125.36799497850875,190.0,top
S17,296.7100329099916,-111.61244328757999,190.0,top
S18,293.7580099099916,-94.87071128758,190.0,top
S19,279.31319607146855,-119.66355215233456,196.0,top
S2,99.84916441352178,-111.05258019796406,170.0,top
S20,274.62736407146855,-103.32210315233456,196.0,top
S21,269.94152807146855,-86.98065315233455,196.0,top
S22,260.69403177668426,-121.36560608530692,200.0,top
S23,254.87969177668427,-105.39083108530693,200.0,top
S24,249.06534977668426,-89.41605208530693,200.0,top
S25,245.23315177668425,-131.51565608530692,200.0,top
S26,239.41881177668427,-115.54088508530693,200.0,top
S27,233.60446977668425,-99.56610808530692,200.0,top
S28,253.37323677668425,-153.88034508530694,200.0,top
S29,234.74231677234965,-163.78854016922944,215.0,top
S3,102.80118241352179,-94.31085219796405,170.0,top
S30,219.31066718555928,-178.1811661122085,230.0,top
S31,83.80436558647821,-116.95612380203595,350.0,top
S32,86.75638758647821,-100.21439280203595,350.0,top
S33,89.18186289974767,-86.45884611110722,350.0,top
S34,173.28057833495936,-132.54811210941128,340.0,top
S35,179.09492033495937,-116.57334010941129,340.0,top
S36,183.8721677553601,-103.44794505878936,340.0,top
S37,319.1050590900084,-116.39626171242,10.0,top
S38,316.15304409000845,-99.65453471242,10.0,top
S39,313.727568776739,-85.89898302149126,10.0,top
S4,117.32191505591844,-118.77486902908231,164.0,top
S40,229.48339664371647,-131.445407965315,20.0,top
S41,223.6690546437165,-115.470627965315,20.0,top
S42,218.89180322331575,-102.34523991469307,20.0,top
S5,122.00774405591844,-102.43342002908231,164.0,top
S6,126.69358205591844,-86.09197002908232,164.0,top
S7,136.0106142446399,-120.26289894121064,160.0,top
S8,141.8249592446399,-104.28812094121064,160.0,top
S9,147.6393012446399,-88.31334994121065,160.0,top
